peak_id,peak_name,name,yr_season,date,time,citizenship,gender,age,is_o2_used,is_summiter,cause_of_death
AMAD,Ama Dablam,Michael John (Mike) Harris,1959 Spr,May 21,08:30,UK,M,33,No,.,Fall (6550m)
AMAD,Ama Dablam,George James Fraser,1959 Spr,May 21,08:30,UK,M,27,No,.,Fall (6550m)
AMAD,Ama Dablam,Kenneth James (Ken) Hyslop,1979 Aut,Oct 24,11:15,New Zealand,M,23,No,.,Avalanche (6100m)
AMAD,Ama Dablam,Guido Bumann,1983 Aut,Oct 27,20:00,Switzerland,M,31,No,.,Fall (5300m)
AMAD,Ama Dablam,Maya Senn,1983 Aut,Oct 27,20:00,Switzerland,F,28,No,.,Fall (5300m)
AMAD,Ama Dablam,Makoto Ishibashi,1985 Spr,May 04,09:30,Japan,M,32,No,Y,Fall (5900m)
AMAD,Ama Dablam,Charlie Eckenfelder,1988 Spr,Apr 09,16:00,Canada,M,33,No,.,Fall (6200m)
AMAD,Ama Dablam,Jose Joaquin Goni Azanza,1992 Spr,Apr 19,19:00,Spain,M,36,No,Y,Fall (6750m)
AMAD,Ama Dablam,Karine Van Dooren,1992 Aut,Oct 26,,Belgium,F,35,No,.,Fall (6000m)
AMAD,Ama Dablam,Jean Corniglion,1998 Aut,Oct 31,18:00,France,M,60,No,.,AMS (4600m)
AMAD,Ama Dablam,Robert Rackl,2003 Aut,Oct 11,,Germany,M,39,No,.,Fall (6080m)
AMAD,Ama Dablam,Daniel Carlsson,2006 Aut,Nov 14,05:00,Sweden,M,27,No,.,Avalanche (6400m)
AMAD,Ama Dablam,Mikael Forsberg,2006 Aut,Nov 14,05:00,Sweden,M,41,No,.,Avalanche (6400m)
AMAD,Ama Dablam,Duncan Griffin Williams,2006 Aut,Nov 14,05:00,UK,M,32,No,.,Avalanche (6400m)
AMAD,Ama Dablam,"Mingma Nuru Sherpa (Pangboche, Khumbu)",2006 Aut,Nov 14,05:00,Nepal,M,37,No,.,Avalanche (6400m)
