peak_id,peak_name,host_contries,alternative_names,height_m,height_ft,location,region,restrictions,climb_status,is_open,is_unlisted,is_trekking,trek_year,first_asc_yr,first_asc_season,first_asc_date,countries,first_summiters,summiters_notes
ACHN,Aichyn,Nepal only,"Aychin, Ashvin",6055,19865,Nalakankar/Chandi/Changla,Far West-Kanjiroba,Opened in 2014,Climbed,1,0,0,0,2015,Autumn,Sep 03,Japan,"Hiroki Senda, et al",
AGLE,Agole East,Nepal only,Angole East,6675,21900,Rolwaling,Khumbu-Rolwaling-Makalu,Opened in 2014,Unclimbed,1,0,0,0,0,All,,,Unclimbed,
AMAD,Ama Dablam,Nepal only,Amai Dablang,6814,22356,Khumbu,Khumbu-Rolwaling-Makalu,,Climbed,1,0,0,0,1961,Spring,Mar 13,"New Zealand, USA, UK","Mike Gill, Wally Romanes, Barry Bishop, Michael Ward",
AMOT,Amotsang,Nepal only,Amatson,6393,20974,Damodar,Annapurna-Damodar-Peri,Opened in 2002,Climbed,1,0,0,0,2019,Autumn,Oct 24,Germany,Jost Kobusch,Possibly climbed earlier
AMPG,Amphu Gyabjen,Nepal only,,5630,18471,Khumbu,Khumbu-Rolwaling-Makalu,Opened in 2002,Climbed,1,0,0,0,1953,Spring,Apr 11,UK,"John Hunt, Tom Bourdillon",
AMPH,Amphu I,Nepal only,,6740,22113,Khumbu,Khumbu-Rolwaling-Makalu,Opened in 2002,Climbed,1,0,0,0,2013,Autumn,Oct 09,S Korea,"Ahn Il-Evn, An Chi-Young, Kim Young-Mi, Oh Young-Hoon",
AMPM,Amphu Middle,Nepal only,Amphu North,6202,20348,Khumbu,Khumbu-Rolwaling-Makalu,Requires permit for Amphu I,Climbed,0,1,0,0,2008,Spring,Apr 20,Germany,"Olaf Rieck, Alexander Graeber",
ANID,Anidesh Chuli,Nepal only,White Wave Peak,6808,22336,Kangchenjunga/Simhalila,Kangchenjunga-Janak,Opened in 2002,Unclimbed,1,0,0,0,0,All,,,Unclimbed,
ANN1,Annapurna I,Nepal only,,8091,26545,Annapurna,Annapurna-Damodar-Peri,,Climbed,1,0,0,0,1950,Spring,Jun 03,France,"Maurice Herzog, Louis Lachenal",
ANN2,Annapurna II,Nepal only,,7937,26040,Annapurna,Annapurna-Damodar-Peri,,Climbed,1,0,0,0,1960,Spring,May 17,"UK, Nepal","Richard Grant, Chris Bonington, Ang Nyima Sherpa",
ANN3,Annapurna III,Nepal only,,7555,24787,Annapurna,Annapurna-Damodar-Peri,,Climbed,1,0,0,0,1961,Spring,May 06,India,"Mohan S. Kohli, Sonam Gyatso, Sonam Girmi",
ANN4,Annapurna IV,Nepal only,,7525,24688,Annapurna,Annapurna-Damodar-Peri,,Climbed,1,0,0,0,1955,Spring,May 30,W Germany,"Heinz Steinmetz, Harald Biller, Juergen Wellenkamp",
ANNE,Annapurna I East,Nepal only,,8026,26332,Annapurna,Annapurna-Damodar-Peri,Requires permit for Annapurna I,Climbed,1,0,0,0,1974,Spring,Apr 29,Spain,"Jose Manuel Anglada Nieto, Jorge Pons Sangines, Emilio Givis Abad",
ANNM,Annapurna I Middle,Nepal only,,8051,26414,Annapurna,Annapurna-Damodar-Peri,Requires permit for Annapurna I,Climbed,1,0,0,0,1980,Autumn,Oct 03,W Germany,"Udo Boening, Ludwig Greissl, Heinz Oberrauch",
ANNS,Annapurna South,Nepal only,"Annapurna Dakshin, Moditse",7219,23684,Annapurna,Annapurna-Damodar-Peri,,Climbed,1,0,0,0,1964,Autumn,Oct 15,"Japan, Nepal","Shiochiro Uyeo, Mingma Tsering Sherpa",
APIM,Api Main,Nepal only,,7132,23399,Api/Byas Risi/Guras,Far West-Kanjiroba,,Climbed,1,0,0,0,1960,Spring,May 10,"Japan, Nepal","Katsutoshi Hirabayashi, Gyaltsen Norbu Sherpa",1st ascent claimed by UK (H. S. Landor) in 1899 but probably reached only 5000m
APIW,Api West,Nepal only,,7076,23215,Api/Byas Risi/Guras,Far West-Kanjiroba,,Unclimbed,1,0,0,0,0,All,,,Unclimbed,
ARDN,Ardang,Nepal only,Chyoro Ri,6034,19797,Nalakankar/Chandi/Changla,Far West-Kanjiroba,Opened in 2014,Climbed,1,0,0,0,2019,Autumn,Nov 13,Canada,"Bryce Brown, Sunny Twelker",
