peak_id,peak_name,name,yr_season,date,time,citizenship,gender,age,is_o2_used,died_on_descent,host_country
ACHN,Aichyn,Kaya Ko,2015 Aut,Sep 03,13:15,Japan,F,23,No,.,Nepal
ACHN,Aichyn,Yuma Ono,2015 Aut,Sep 03,13:15,Japan,M,19,No,.,Nepal
ACHN,Aichyn,Shintaro Saito,2015 Aut,Sep 03,13:15,Japan,M,25,No,.,Nepal
ACHN,Aichyn,Hiroki (Yuki) Senda,2015 Aut,Sep 03,13:15,Japan,M,23,No,.,Nepal
ACHN,Aichyn,Yuto Tamaki,2015 Aut,Sep 03,13:15,Japan,M,22,No,.,Nepal
ACHN,Aichyn,"Rajan Lama Bhote (Hatiya-1, Makalu-Barun)",2015 Aut,Sep 25,13:30,Nepal,M,28,No,.,Nepal
ACHN,Aichyn,Jean-Paul Emole Gabriel Charpentier,2015 Aut,Sep 25,13:30,France,M,60,No,.,Nepal
ACHN,Aichyn,Pierre Robert Roger Derieux,2015 Aut,Sep 25,13:30,France,M,50,No,.,Nepal
ACHN,Aichyn,Paul Marc (Paulo) Grobel,2015 Aut,Sep 25,13:30,France,M,58,No,.,Nepal
ACHN,Aichyn,Dhan Bahadur Magar,2015 Aut,Sep 25,13:30,Nepal,M,29,No,.,Nepal
ACHN,Aichyn,Hughes Alain Jacques Marie Riverieulx de Varax,2015 Aut,Sep 25,13:30,France,M,56,No,.,Nepal
AMAD,Ama Dablam,Barry Chapman Bishop,1961 Spr,Mar 13,14:00,USA,M,29,No,.,Nepal
AMAD,Ama Dablam,Michael Bedford Gill,1961 Spr,Mar 13,14:00,New Zealand,M,23,No,.,Nepal
AMAD,Ama Dablam,Walter S. (Wally) Romanes,1961 Spr,Mar 13,14:00,New Zealand,M,29,No,.,Nepal
AMAD,Ama Dablam,Michael Phelps Ward,1961 Spr,Mar 13,14:00,UK,M,35,No,.,Nepal
AMAD,Ama Dablam,Jan Anders Martin Boysen,1979 Spr,Apr 22,17:00,W Germany,M,37,No,.,Nepal
AMAD,Ama Dablam,David Finlay Breashears,1979 Spr,Apr 22,17:00,USA,M,23,No,.,Nepal
AMAD,Ama Dablam,Thomas McCallay (Tom) Frost,1979 Spr,Apr 22,17:00,USA,M,42,No,.,Nepal
AMAD,Ama Dablam,Greg Lowe,1979 Spr,Apr 22,17:00,USA,M,30,No,.,Nepal
AMAD,Ama Dablam,Jeff Lowe,1979 Spr,Apr 22,17:00,USA,M,28,No,.,Nepal
AMAD,Ama Dablam,Peter Pilafian,1979 Spr,Apr 22,17:00,USA,M,35,No,.,Nepal
AMAD,Ama Dablam,"Lhakpa Dorje Sherpa (Khunde, Khumbu)",1979 Spr,Apr 22,17:00,Nepal,M,23,No,.,Nepal
AMAD,Ama Dablam,Jonathan Wright,1979 Spr,Apr 22,17:00,USA,M,26,No,.,Nepal
AMAD,Ama Dablam,Doug Robinson,1979 Spr,Apr 25,15:00,USA,M,33,No,.,Nepal
AMAD,Ama Dablam,John Wasson,1979 Spr,Apr 25,15:00,USA,M,29,No,.,Nepal
AMAD,Ama Dablam,Jeff Lowe,1979 Spr,Apr 30,13:00,USA,M,28,No,.,Nepal
AMAD,Ama Dablam,Francois Chaud,1979 Aut,Oct 21,,France,M,34,No,.,Nepal
AMAD,Ama Dablam,Gerard Estienne,1979 Aut,Oct 21,,France,M,31,No,.,Nepal
AMAD,Ama Dablam,Yvan Estienne,1979 Aut,Oct 21,,France,M,28,No,.,Nepal
